lr-AdamW,step,val_loss,validation_epoch_average,epoch,train_epoch_average
0.0009755527298894294,9,,,,
,17,0.6527637226365345,0.6448392143906352,1,
,17,,,1,0.5760336927931027
0.0009046039886902864,18,,,,
,26,0.434729889328794,0.5477127383637708,2,
,26,,,2,0.49236527795429696
0.0007940987335200905,27,,,,
,35,0.5667164519454673,0.5514900822848394,3,
,35,,,3,0.4190845350960765
0.0006548539886902864,36,,,,
,44,0.6150376995908079,0.5669766041416058,4,
,44,,,4,0.39512974734536915
0.0005005000000000001,45,,,,
,53,0.38945639858265285,0.5304980717967889,5,
,53,,,5,0.37017834905438896
0.0003461460113097139,54,,,,
,62,0.30238429137060174,0.49282486430374517,6,
,62,,,6,0.3498410804413028
0.00020690126647990976,63,,,,
,71,0.34802278698138567,0.47232495114323514,7,
,71,,,7,0.33486612756104395
9.639601130971382e-05,72,,,,
,80,0.4319319303537233,0.46891991811095735,8,
,80,,,8,0.3177772836657365
2.5447270110570814e-05,81,,,,
,89,0.2611530602810925,0.44577623862578486,9,
,89,,,9,0.29727829949326284
1e-06,90,,,,
,98,0.4388021181123053,0.4457705342634275,10,
,98,,,10,0.2844593088399038
2.5447270110570814e-05,99,,,,
,107,0.4585554573998746,0.4462879248069247,11,
,107,,,11,0.2755320967827517
9.639601130971418e-05,108,,,,
,116,0.3830928940265237,0.4403730124616724,12,
,116,,,12,0.26690135730503883
0.00020690126647991054,117,,,,
,125,0.3117019086924341,0.43037023680136743,13,
,125,,,13,0.2599805093142492
0.0003461460113097153,126,,,,
,134,0.38695602972691867,0.4266086911649406,14,
,134,,,14,0.2545193421144679
0.0005005000000000021,135,,,,
,143,0.4699061829186693,0.4313989394770327,15,
,143,,,15,0.24876254433628803
0.0006548539886902891,144,,,,
,152,0.6057132557075025,0.4463585958103825,16,
,152,,,16,0.24995824712824244
0.0007940987335200938,153,,,,
,161,0.510716771438361,0.4496341969330626,17,
,161,,,17,0.25075662157981354
0.0009046039886902903,162,,,,
,170,0.5141929818749962,0.452347193362373,18,
,170,,,18,0.2488494535649348
0.0009755527298894335,171,,,,
,179,0.8425240844090136,0.471124229816978,19,
,179,,,19,0.24431379205263395
0.0010000000000000041,180,,,,
,188,1.4874251484561634,0.5191623405206481,20,
,188,,,20,0.24601692315745508
0.0009755527298894334,189,,,,
,197,1.26625602663159,0.5551930378198172,21,
,197,,,21,0.24875123465433363
0.0009046039886902904,198,,,,
,206,0.5080742502952648,0.552262643064489,22,
,206,,,22,0.2544534052087493
0.0007940987335200938,207,,,,
,215,0.9073016858155392,0.5672821402475755,23,
,215,,,23,0.252030871193984
0.0006548539886902891,216,,,,
,224,0.5654986488345344,0.5668729651184198,24,
,224,,,24,0.25127676410445093
0.0005005000000000021,225,,,,
,233,0.437987384011807,0.5616245785841977,25,
,233,,,25,0.2563571179297446
0.00034614601130971535,234,,,,
,242,0.3978407276951222,0.5555069159973437,26,
,242,,,26,0.25406110899850237
0.00020690126647991062,243,,,,
,251,0.42278589451835497,0.5503823827092115,27,
,251,,,27,0.25123706725410533
9.639601130971425e-05,252,,,,
,260,0.43058328543749824,0.5455510591744915,28,
,260,,,28,0.2485872934721545
2.5447270110570967e-05,261,,,,
,269,0.42442653265148006,0.541008014899302,29,
,269,,,29,0.24491062202753197
